artist_count,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,kmeans_1,kmeans_2,kmeans_3,kmeans_4,kmeans_5,kmeans_6,kmeans_7,kmeans_8,kmeans_9,kmeans_10
2.0,553.0,141381703.0,43.0,45.0,125.0,80.0,89.0,83.0,31.0,0.0,8.0,4.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,1474.0,133716286.0,48.0,58.0,92.0,71.0,61.0,74.0,7.0,0.0,10.0,4.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,6.0,5.0
1.0,1397.0,140003974.0,94.0,91.0,138.0,51.0,32.0,53.0,17.0,0.0,31.0,6.0,0.0,1.0,1.0,0.0,2.0,5.0,4.0,0.0,4.0,6.0
1.0,7858.0,800840817.0,116.0,125.0,170.0,55.0,58.0,72.0,11.0,0.0,11.0,15.0,0.0,0.0,0.0,2.0,4.0,5.0,2.0,4.0,7.0,2.0
1.0,3133.0,303236322.0,84.0,87.0,144.0,65.0,23.0,80.0,14.0,63.0,11.0,6.0,0.0,1.0,1.0,0.0,2.0,5.0,6.0,7.0,4.0,4.0
2.0,2186.0,183706234.0,67.0,88.0,141.0,92.0,66.0,58.0,19.0,0.0,8.0,24.0,0.0,1.0,2.0,3.0,1.0,4.0,0.0,1.0,7.0,7.0
2.0,3090.0,725980112.0,34.0,43.0,148.0,67.0,83.0,76.0,48.0,0.0,8.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,714.0,58149378.0,25.0,30.0,100.0,67.0,26.0,71.0,37.0,0.0,11.0,4.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,6.0,6.0,6.0
1.0,1096.0,95217315.0,60.0,48.0,130.0,85.0,22.0,62.0,12.0,0.0,28.0,9.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,0.0,6.0,5.0
2.0,2953.0,553634067.0,49.0,66.0,170.0,81.0,56.0,48.0,21.0,0.0,8.0,33.0,0.0,1.0,2.0,3.0,1.0,4.0,0.0,0.0,7.0,7.0
2.0,2876.0,505671438.0,41.0,54.0,83.0,57.0,56.0,72.0,23.0,0.0,27.0,5.0,0.0,1.0,2.0,1.0,3.0,5.0,1.0,5.0,6.0,1.0
1.0,422.0,58255150.0,37.0,21.0,150.0,78.0,52.0,82.0,18.0,0.0,15.0,7.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,5.0
1.0,12211.0,1316855716.0,300.0,745.0,118.0,71.0,65.0,68.0,6.0,0.0,3.0,7.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,3.0,3.0,8.0
1.0,3528.0,387570742.0,80.0,182.0,130.0,51.0,32.0,43.0,83.0,0.0,9.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,6.0,1.0,3.0
1.0,23575.0,2513188493.0,403.0,863.0,174.0,52.0,66.0,73.0,34.0,0.0,31.0,6.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,3.0,3.0,8.0
1.0,8109.0,1163093654.0,183.0,161.0,89.0,64.0,43.0,73.0,5.0,17.0,16.0,4.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,4.0,0.0,2.0
1.0,2942.0,496795686.0,91.0,78.0,120.0,78.0,76.0,59.0,43.0,0.0,34.0,3.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,5.0,2.0,5.0
1.0,873.0,30546883.0,80.0,95.0,78.0,44.0,14.0,9.0,96.0,0.0,10.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,6.0,1.0,3.0
2.0,2610.0,335222234.0,43.0,54.0,100.0,86.0,67.0,66.0,14.0,0.0,12.0,16.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,596.0,363369738.0,8.0,23.0,120.0,63.0,36.0,73.0,0.0,0.0,36.0,4.0,0.0,1.0,2.0,1.0,3.0,5.0,4.0,5.0,5.0,1.0
3.0,332.0,86444842.0,11.0,10.0,140.0,65.0,87.0,74.0,22.0,0.0,42.0,4.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,5.0,2.0,1.0
1.0,516.0,52135248.0,73.0,42.0,123.0,69.0,82.0,76.0,6.0,0.0,6.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,12859.0,1297026226.0,24.0,582.0,135.0,48.0,44.0,42.0,12.0,2.0,11.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0,2.0
2.0,1313.0,200647221.0,17.0,32.0,133.0,85.0,81.0,67.0,26.0,0.0,12.0,5.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
3.0,1945.0,115364561.0,74.0,87.0,99.0,85.0,83.0,68.0,7.0,0.0,36.0,20.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0
1.0,250.0,78300654.0,16.0,10.0,130.0,79.0,96.0,86.0,9.0,0.0,9.0,9.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
2.0,7112.0,899183384.0,202.0,318.0,107.0,80.0,82.0,80.0,43.0,0.0,14.0,4.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,4.0,0.0,2.0
2.0,859.0,61245289.0,35.0,41.0,122.0,81.0,74.0,71.0,14.0,0.0,56.0,4.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,5.0,5.0,1.0
1.0,2420.0,429829812.0,52.0,15.0,204.0,52.0,52.0,68.0,46.0,0.0,15.0,4.0,0.0,1.0,1.0,0.0,2.0,5.0,4.0,0.0,4.0,3.0
1.0,2988.0,127408954.0,0.0,143.0,110.0,67.0,78.0,85.0,2.0,0.0,33.0,5.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,5.0,2.0,1.0
1.0,864.0,22581161.0,71.0,50.0,126.0,74.0,35.0,84.0,0.0,0.0,11.0,6.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,0.0,6.0,5.0
